Index,PctInt*100,NGI Set Intensity,x,y,Lumens
1,0,0,0.4803,0.5197,0.00056506
2,3,0.0003,0.4072,0.4621,0.00056645
3,6,0.0006,0.4208,0.4412,0.00057347
4,9,0.0009,0.4681,0.4302,0.00056592
5,12,0.0012,0.3084,0.4182,0.00058502
6,15,0.0015,0.1207,0.0757,0.020035
7,18,0.0018,0.1209,0.0752,0.023015
8,21,0.0021,0.1206,0.0747,0.024725
9,24,0.0024,0.1212,0.0754,0.026045
10,27,0.0027,0.1214,0.0747,0.028129
11,30,0.003,0.121,0.0741,0.030629
12,33,0.0033,0.1212,0.0738,0.031303
13,36,0.0036,0.1211,0.0734,0.034388
14,39,0.0039,0.1211,0.0734,0.035838
15,42,0.0042,0.1212,0.0729,0.038321
16,45,0.0045,0.1211,0.0726,0.042009
17,48,0.0048,0.121,0.0722,0.043323
18,51,0.0051,0.1215,0.0721,0.043982
19,54,0.0054,0.1215,0.0724,0.047141
20,57,0.0057,0.1213,0.0716,0.049796
21,60,0.006,0.1216,0.0717,0.050813
22,63,0.0063,0.1215,0.0714,0.053508
23,66,0.0066,0.1215,0.0713,0.05468
24,69,0.0069,0.1215,0.0709,0.057297
25,72,0.0072,0.1215,0.0708,0.060634
26,75,0.0075,0.1216,0.0708,0.061909
27,78,0.0078,0.1216,0.0709,0.063529
28,81,0.0081,0.1218,0.0705,0.065423
29,84,0.0084,0.1218,0.0706,0.068914
30,87,0.0087,0.1219,0.0706,0.07009
31,90,0.009,0.1218,0.0705,0.071597
32,93,0.0093,0.1219,0.0703,0.073246
33,96,0.0096,0.122,0.0703,0.076244
34,99,0.0099,0.122,0.0701,0.077608
35,102,0.0102,0.1221,0.0703,0.079962
36,105,0.0105,0.1222,0.0704,0.080971
37,108,0.0108,0.1222,0.0698,0.083747
38,111,0.0111,0.1222,0.07,0.085253
39,114,0.0114,0.1223,0.0701,0.087157
40,117,0.0117,0.1223,0.0699,0.089623
41,120,0.012,0.1224,0.0696,0.090696
42,123,0.0123,0.1223,0.0697,0.092916
43,126,0.0126,0.1224,0.0695,0.095468
44,129,0.0129,0.1224,0.0696,0.096451
45,132,0.0132,0.1224,0.0695,0.097915
46,135,0.0135,0.1225,0.0694,0.10117
47,138,0.0138,0.1226,0.0696,0.10194
48,141,0.0141,0.1228,0.0696,0.10436
49,144,0.0144,0.1228,0.0694,0.10653
50,147,0.0147,0.1226,0.0691,0.10745
51,150,0.015,0.1227,0.0691,0.10907
52,153,0.0153,0.1227,0.0689,0.11185
53,156,0.0156,0.1228,0.0689,0.11392
54,159,0.0159,0.1228,0.0691,0.11512
55,162,0.0162,0.1228,0.069,0.1174
56,165,0.0165,0.1233,0.0696,0.11944
57,168,0.0168,0.123,0.0689,0.12094
58,171,0.0171,0.1232,0.069,0.1223
59,174,0.0174,0.123,0.0684,0.12513
60,177,0.0177,0.1234,0.0692,0.12634
61,180,0.018,0.1232,0.0687,0.12786
62,183,0.0183,0.1235,0.0688,0.12994
63,186,0.0186,0.1232,0.0688,0.13204
64,189,0.0189,0.1232,0.069,0.13339
65,192,0.0192,0.1232,0.0685,0.13478
66,195,0.0195,0.1234,0.0689,0.1355
67,198,0.0198,0.1232,0.0681,0.13861
68,201,0.0201,0.1233,0.0686,0.13928
69,204,0.0204,0.1234,0.0687,0.14209
70,207,0.0207,0.1234,0.0684,0.14378
71,210,0.021,0.1234,0.0685,0.14519
72,213,0.0213,0.1235,0.0683,0.14793
73,216,0.0216,0.1236,0.0684,0.14999
74,219,0.0219,0.1234,0.0682,0.15036
75,222,0.0222,0.1233,0.0679,0.15259
76,225,0.0225,0.1236,0.0679,0.15562
77,228,0.0228,0.1238,0.0682,0.15597
78,231,0.0231,0.1236,0.068,0.15807
79,234,0.0234,0.1235,0.0679,0.15936
80,237,0.0237,0.1235,0.0678,0.16086
81,240,0.024,0.1236,0.068,0.16191
82,243,0.0243,0.1237,0.068,0.16468
83,246,0.0246,0.1235,0.0674,0.16676
84,249,0.0249,0.1238,0.0679,0.168
85,252,0.0252,0.124,0.0678,0.17084
86,255,0.0255,0.1239,0.0679,0.17234
87,258,0.0258,0.1236,0.0671,0.17499
88,261,0.0261,0.1238,0.0672,0.17617
89,264,0.0264,0.1237,0.0673,0.1781
90,267,0.0267,0.1238,0.0669,0.18066
91,270,0.027,0.1238,0.0669,0.18186
92,273,0.0273,0.1238,0.0671,0.18497
93,276,0.0276,0.1239,0.0669,0.18655
94,279,0.0279,0.1239,0.0671,0.18751
95,282,0.0282,0.1239,0.0668,0.19031
96,285,0.0285,0.1239,0.0665,0.19193
97,288,0.0288,0.1239,0.0667,0.19308
98,291,0.0291,0.1239,0.0669,0.19418
99,294,0.0294,0.1239,0.067,0.19662
100,297,0.0297,0.1239,0.0665,0.19881
101,300,0.03,0.124,0.0667,0.20029
102,303,0.0303,0.124,0.0666,0.2027
103,306,0.0306,0.124,0.0665,0.20372
104,309,0.0309,0.124,0.0664,0.2044
105,312,0.0312,0.124,0.0667,0.20516
106,315,0.0315,0.1241,0.0666,0.20715
107,318,0.0318,0.1242,0.0666,0.20891
108,321,0.0321,0.1242,0.0665,0.2117
109,324,0.0324,0.1242,0.0665,0.21245
110,327,0.0327,0.1242,0.0661,0.21437
111,330,0.033,0.1242,0.0661,0.21501
112,333,0.0333,0.1242,0.0663,0.21717
113,336,0.0336,0.1244,0.0662,0.21872
114,339,0.0339,0.1242,0.0661,0.21984
115,342,0.0342,0.1243,0.0659,0.2229
116,345,0.0345,0.1243,0.0661,0.22351
117,348,0.0348,0.1243,0.0659,0.2243
118,351,0.0351,0.1243,0.0661,0.22478
119,354,0.0354,0.1243,0.0661,0.22736
120,357,0.0357,0.1243,0.0659,0.22814
121,360,0.036,0.1244,0.066,0.23024
122,363,0.0363,0.1244,0.0659,0.23129
123,366,0.0366,0.1244,0.066,0.23246
124,369,0.0369,0.1244,0.0659,0.23435
125,372,0.0372,0.1245,0.0659,0.23862
126,375,0.0375,0.1244,0.0657,0.23958
127,378,0.0378,0.1244,0.066,0.24199
128,381,0.0381,0.1245,0.0659,0.24304
129,384,0.0384,0.1244,0.0656,0.24519
130,387,0.0387,0.1244,0.0657,0.24599
131,390,0.039,0.1245,0.0657,0.24707
132,393,0.0393,0.1246,0.0653,0.248
133,396,0.0396,0.1245,0.0657,0.24731
134,399,0.0399,0.1249,0.0659,0.24761
135,402,0.0402,0.1247,0.0655,0.2514
136,405,0.0405,0.1245,0.0655,0.25389
137,408,0.0408,0.1249,0.0657,0.25499
138,411,0.0411,0.1247,0.0653,0.2583
139,414,0.0414,0.1247,0.0652,0.26075
140,417,0.0417,0.1246,0.0652,0.26114
141,420,0.042,0.1246,0.0651,0.26304
142,423,0.0423,0.1249,0.0656,0.26362
143,426,0.0426,0.1249,0.0655,0.2654
144,429,0.0429,0.1248,0.0651,0.26746
145,432,0.0432,0.1249,0.0656,0.26806
146,435,0.0435,0.1247,0.065,0.27076
147,438,0.0438,0.1248,0.0651,0.27143
148,441,0.0441,0.1248,0.065,0.27346
149,444,0.0444,0.1248,0.065,0.27495
150,447,0.0447,0.1248,0.0652,0.27537
151,450,0.045,0.1248,0.0652,0.27672
152,453,0.0453,0.1249,0.0652,0.27789
153,456,0.0456,0.1249,0.065,0.27955
154,459,0.0459,0.1248,0.065,0.28097
155,462,0.0462,0.1251,0.0652,0.28205
156,465,0.0465,0.125,0.065,0.2826
157,468,0.0468,0.125,0.0651,0.2837
158,471,0.0471,0.1249,0.0648,0.28715
159,474,0.0474,0.1249,0.0649,0.28747
160,477,0.0477,0.125,0.0649,0.28965
161,480,0.048,0.125,0.065,0.291
162,483,0.0483,0.125,0.0651,0.29309
163,486,0.0486,0.125,0.065,0.29423
