Index,PctInt*100,Lumens,x,y
1,0,4.86E-06,0.0248,0.404
2,3,4.08E-06,0.0248,0.404
3,6,5.32E-07,0.0248,0.404
4,9,2.88E-06,0.0248,0.404
5,12,2.19E-06,0.0248,0.404
6,15,1.37E-07,0.0248,0.404
7,18,3.46E-06,0.0248,0.404
8,21,2.52E-06,0.0248,0.404
9,24,2.75E-06,0.0248,0.404
10,27,1.37E-07,0.0248,0.404
11,30,1.37E-07,0.0248,0.404
12,33,1.37E-07,0.0248,0.404
13,36,1.37E-07,0.0248,0.404
14,39,1.37E-07,0.0248,0.404
15,42,1.63E-06,0.0248,0.404
16,45,1.37E-07,0.0248,0.404
17,48,1.37E-07,0.0248,0.404
18,51,1.37E-07,0.0248,0.404
19,54,1.37E-07,0.0248,0.404
20,57,1.91E-06,0.0248,0.404
21,60,2.82E-07,0.0248,0.404
22,63,3.32E-06,0.0248,0.404
23,66,4.20E-06,0.0248,0.404
24,69,2.99E-07,0.0248,0.404
25,72,1.37E-07,0.0248,0.404
26,75,3.29E-06,0.0248,0.404
27,78,2.46E-06,0.0248,0.404
28,81,2.38E-06,0.6866,0.3132
29,84,2.05E-06,0.0882,0.1413
30,87,8.54E-05,0.1152,0.0819
31,90,0.00073374,0.1164,0.0756
32,93,0.0018795,0.1195,0.0749
33,96,0.0051439,0.1201,0.0738
34,99,0.0067327,0.1206,0.0734
35,102,0.0084996,0.1208,0.0729
36,105,0.01038,0.1212,0.0726
37,108,0.01215,0.1214,0.0725
38,111,0.015078,0.1215,0.0722
39,114,0.016975,0.1218,0.0722
40,117,0.018264,0.1218,0.0719
41,120,0.02003,0.1219,0.0715
42,123,0.021103,0.1221,0.0718
43,126,0.024478,0.1222,0.0711
44,129,0.026241,0.1223,0.071
45,132,0.027485,0.1225,0.071
46,135,0.029825,0.1224,0.0705
47,138,0.03222,0.1226,0.0708
48,141,0.033884,0.1228,0.0706
49,144,0.035473,0.1228,0.0704
50,147,0.038527,0.1229,0.0702
51,150,0.039586,0.1229,0.0698
52,153,0.041989,0.1229,0.07
53,156,0.043495,0.1232,0.07
54,159,0.0449,0.1232,0.07
55,162,0.046923,0.1231,0.0695
56,165,0.049805,0.1233,0.0696
57,168,0.051752,0.1234,0.0695
58,171,0.052913,0.1233,0.0692
59,174,0.056282,0.1235,0.069
60,177,0.057684,0.1234,0.069
61,180,0.059305,0.1236,0.0691
62,183,0.062099,0.1236,0.0689
63,186,0.062524,0.1235,0.0687
64,189,0.063769,0.1237,0.0688
65,192,0.066834,0.1238,0.0689
66,195,0.068158,0.1239,0.0688
67,198,0.069879,0.1239,0.0685
68,201,0.071393,0.1239,0.0685
69,204,0.074356,0.1238,0.0682
70,207,0.075843,0.1239,0.068
71,210,0.077611,0.1242,0.0685
72,213,0.080318,0.124,0.068
73,216,0.08145,0.1242,0.0682
74,219,0.083779,0.1242,0.068
75,222,0.08491,0.1246,0.0685
76,225,0.086977,0.1241,0.0676
77,228,0.089115,0.1242,0.0677
78,231,0.090289,0.1244,0.068
79,234,0.093115,0.1243,0.0676
80,237,0.093858,0.1241,0.0673
81,240,0.094423,0.1242,0.0673
82,243,0.098893,0.1245,0.0674
83,246,0.099793,0.1245,0.0669
84,249,0.10097,0.1243,0.067
85,252,0.10466,0.1245,0.0673
86,255,0.10599,0.1245,0.0671
87,258,0.10654,0.1246,0.0671
88,261,0.10784,0.1246,0.067
89,264,0.11099,0.1246,0.0667
90,267,0.11259,0.1246,0.0669
91,270,0.11394,0.1246,0.0667
92,273,0.11506,0.1245,0.0667
93,276,0.11756,0.1245,0.0665
94,279,0.11936,0.1249,0.0669
95,282,0.1219,0.1247,0.0665
96,285,0.12267,0.1246,0.0664
97,288,0.124,0.1247,0.0664
98,291,0.12523,0.1248,0.0667
99,294,0.12873,0.1248,0.0665
100,297,0.13042,0.1248,0.0662
101,300,0.13237,0.1249,0.0661
102,303,0.13273,0.1248,0.0663
103,306,0.13477,0.1249,0.0661
104,309,0.13685,0.125,0.0662
105,312,0.13848,0.1251,0.0664
106,315,0.14017,0.1251,0.0662
107,318,0.14195,0.1252,0.0662
108,321,0.14443,0.1252,0.066
109,324,0.14461,0.1252,0.0659
110,327,0.14594,0.1255,0.0663
111,330,0.14768,0.1251,0.066
112,333,0.15109,0.1252,0.0658
113,336,0.15304,0.1253,0.066
114,339,0.15422,0.1253,0.0658
115,342,0.15734,0.1252,0.0656
116,345,0.15836,0.1254,0.0657
117,348,0.15863,0.1253,0.0657
118,351,0.15945,0.1254,0.0659
119,354,0.16125,0.1255,0.0658
120,357,0.16288,0.1255,0.0658
121,360,0.1657,0.1254,0.0656
122,363,0.16758,0.1255,0.0657
123,366,0.16878,0.1255,0.0655
124,369,0.17019,0.1256,0.0656
125,372,0.17342,0.1257,0.0656
126,375,0.17569,0.1257,0.0655
127,378,0.17597,0.1255,0.0653
128,381,0.17616,0.1257,0.0656
129,384,0.17703,0.1257,0.0653
130,387,0.17998,0.1257,0.0654
131,390,0.18118,0.1257,0.0653
132,393,0.18299,0.1256,0.0653
133,396,0.18427,0.1257,0.0654
134,399,0.18537,0.1257,0.0654
135,402,0.18741,0.1258,0.0653
136,405,0.18906,0.1256,0.0645
137,408,0.19098,0.1257,0.065
138,411,0.19341,0.1256,0.0646
139,414,0.1962,0.1257,0.0648
140,417,0.19776,0.1257,0.0647
141,420,0.19803,0.1259,0.0647
142,423,0.1981,0.1257,0.0645
143,426,0.19896,0.1257,0.0647
144,429,0.20066,0.1258,0.0646
145,432,0.20351,0.1257,0.0645
146,435,0.20459,0.1259,0.0645
147,438,0.20583,0.1257,0.0644
