Index,PctInt*100,Lumens,x,y
1,0,1.30E-07,0.01,0.01
2,3,1.30E-07,0.01,0.01
3,6,1.30E-07,0.01,0.01
4,9,1.30E-07,0.01,0.01
5,12,1.30E-07,0.01,0.01
6,15,1.30E-07,0.01,0.01
7,18,1.30E-07,0.01,0.01
8,21,1.30E-07,0.01,0.01
9,24,1.30E-07,0.01,0.01
10,27,0.0005301,0.1174,0.0776
11,30,0.0017078,0.1192,0.0749
12,33,0.0031947,0.1196,0.0746
13,36,0.0054314,0.12,0.0744
14,39,0.0077995,0.1209,0.0741
15,42,0.008554,0.1206,0.0732
16,45,0.012482,0.1212,0.0731
17,48,0.014713,0.1212,0.0731
18,51,0.016185,0.1216,0.0727
19,54,0.017732,0.1214,0.0725
20,57,0.021068,0.1218,0.0727
21,60,0.022771,0.1219,0.0722
22,63,0.024446,0.1221,0.0724
23,66,0.026774,0.1221,0.0721
24,69,0.028473,0.1221,0.0718
25,72,0.031785,0.1225,0.072
26,75,0.033494,0.1225,0.0713
27,78,0.034929,0.1228,0.0713
28,81,0.0364,0.1225,0.0713
29,84,0.039673,0.1225,0.0709
30,87,0.0418,0.1225,0.0704
31,90,0.04353,0.1228,0.0707
32,93,0.044988,0.1227,0.0703
33,96,0.048736,0.1228,0.0702
34,99,0.050169,0.1228,0.0704
35,102,0.05191,0.1231,0.0704
36,105,0.054631,0.1231,0.0701
37,108,0.056498,0.1231,0.0699
38,111,0.057816,0.1232,0.0698
39,114,0.059939,0.1232,0.0698
40,117,0.061626,0.1233,0.0698
41,120,0.06347,0.1233,0.0695
42,123,0.065076,0.1233,0.0693
43,126,0.067846,0.1234,0.0695
44,129,0.06955,0.1235,0.0694
45,132,0.071219,0.1235,0.0692
46,135,0.073545,0.1234,0.0688
47,138,0.076673,0.1236,0.069
48,141,0.078045,0.1235,0.0689
49,144,0.079836,0.1237,0.069
50,147,0.082405,0.1237,0.0689
51,150,0.084163,0.1237,0.0689
52,153,0.085719,0.124,0.0687
53,156,0.087764,0.124,0.0687
54,159,0.089318,0.1239,0.0684
55,162,0.091022,0.1241,0.0686
56,165,0.093286,0.124,0.0685
57,168,0.094927,0.1239,0.0681
58,171,0.097671,0.124,0.0682
59,174,0.10005,0.1239,0.0681
60,177,0.1017,0.124,0.0678
61,180,0.10362,0.124,0.0681
62,183,0.10513,0.124,0.0677
63,186,0.10691,0.1241,0.0677
64,189,0.10932,0.124,0.0677
65,192,0.11042,0.1242,0.0679
66,195,0.11194,0.1243,0.0675
67,198,0.11351,0.1242,0.0677
68,201,0.11577,0.1243,0.0678
69,204,0.11767,0.1243,0.0676
70,207,0.119,0.1243,0.0676
71,210,0.12201,0.1244,0.0675
72,213,0.12548,0.1244,0.0675
73,216,0.12575,0.1244,0.0671
