Index,PctInt*100,Lumens,x,y
1,0,0.00078153,0.3539,0.3797
2,3,0.23382,0.3001,0.6287
3,6,0.2359,0.2998,0.6284
4,9,0.23829,0.3,0.6284
5,12,0.2409,0.3,0.6289
6,15,0.25737,0.3,0.6286
7,18,0.26714,0.3001,0.6289
8,21,0.27353,0.3,0.6284
9,24,0.28629,0.3,0.6284
10,27,0.29727,0.3,0.6286
11,30,0.3079,0.2998,0.6293
12,33,0.31687,0.2999,0.6285
13,36,0.33477,0.2997,0.6287
14,39,0.34527,0.2998,0.6288
15,42,0.35681,0.2999,0.6287
16,45,0.3725,0.2997,0.6291
17,48,0.38342,0.2997,0.629
18,51,0.39156,0.2998,0.6288
19,54,0.39893,0.2997,0.629
20,57,0.4154,0.2996,0.6289
21,60,0.42955,0.2995,0.6292
22,63,0.43636,0.2996,0.6288
23,66,0.45127,0.2997,0.6289
24,69,0.4601,0.2998,0.6288
25,72,0.47075,0.2996,0.629
26,75,0.48281,0.2996,0.6289
27,78,0.49596,0.2996,0.6288
28,81,0.50452,0.2996,0.6287
29,84,0.52746,0.2996,0.6291
30,87,0.53587,0.2996,0.6291
31,90,0.53883,0.2996,0.6288
32,93,0.54855,0.2997,0.629
33,96,0.57219,0.2996,0.6291
34,99,0.57438,0.2996,0.629
35,102,0.58377,0.2996,0.6288
36,105,0.60407,0.2996,0.629
37,108,0.61396,0.2997,0.629
38,111,0.61915,0.2997,0.6289
39,114,0.63557,0.2998,0.629
40,117,0.64731,0.2995,0.6292
41,120,0.65721,0.2994,0.6294
42,123,0.65928,0.2996,0.6292
43,126,0.68035,0.2996,0.6295
44,129,0.69136,0.2995,0.6294
45,132,0.70169,0.2997,0.6292
46,135,0.7136,0.2995,0.629
47,138,0.72177,0.2996,0.6293
48,141,0.73798,0.2995,0.6291
49,144,0.74783,0.2995,0.6291
50,147,0.75807,0.2995,0.6289
51,150,0.77085,0.2996,0.6291
52,153,0.77584,0.2995,0.629
53,156,0.78705,0.2995,0.6292
54,159,0.79827,0.2994,0.629
55,162,0.81511,0.2996,0.6289
56,165,0.83113,0.2996,0.6293
57,168,0.84463,0.2994,0.6293
58,171,0.8495,0.2996,0.629
59,174,0.85298,0.2995,0.6293
60,177,0.86752,0.2995,0.629
61,180,0.8785,0.2995,0.6294
62,183,0.89183,0.2995,0.6291
63,186,0.89977,0.2995,0.6294
64,189,0.90972,0.2996,0.6294
65,192,0.92653,0.2995,0.6294
66,195,0.94331,0.2995,0.6292
67,198,0.94357,0.2995,0.6295
68,201,0.95103,0.2995,0.6295
69,204,0.96875,0.2995,0.6293
70,207,0.97832,0.2996,0.6292
71,210,0.98735,0.2995,0.6295
72,213,1.003,0.2995,0.6293
73,216,1.0132,0.2995,0.6291
74,219,1.0236,0.2994,0.6292
75,222,1.0348,0.2996,0.6294
76,225,1.0553,0.2994,0.6294
77,228,1.0567,0.2996,0.6294
78,231,1.0565,0.2995,0.6293
79,234,1.0705,0.2995,0.629
80,237,1.087,0.2995,0.6292
81,240,1.0943,0.2995,0.6294
82,243,1.1081,0.2995,0.6292
83,246,1.1192,0.2995,0.6293
84,249,1.1273,0.2996,0.6293
85,252,1.1426,0.2996,0.6292
86,255,1.1523,0.2995,0.6293
87,258,1.1653,0.2994,0.6293
88,261,1.1751,0.2995,0.6292
89,264,1.198,0.2995,0.6292
90,267,1.2022,0.2995,0.6292
91,270,1.202,0.2994,0.6293
92,273,1.2064,0.2995,0.6291
93,276,1.2224,0.2995,0.629
94,279,1.2347,0.2995,0.6292
95,282,1.2524,0.2995,0.6293
96,285,1.2616,0.2995,0.6291
97,288,1.2735,0.2995,0.629
98,291,1.2795,0.2995,0.6291
99,294,1.2927,0.2995,0.629
100,297,1.2972,0.2994,0.6291
101,300,1.3115,0.2994,0.6298
102,303,1.3281,0.2993,0.63
103,306,1.3364,0.2993,0.6297
104,309,1.3442,0.2995,0.6296
105,312,1.3588,0.2993,0.6297
106,315,1.3697,0.2994,0.6297
107,318,1.3879,0.2995,0.6298
108,321,1.3883,0.2993,0.6299
109,324,1.3891,0.2993,0.63
110,327,1.3896,0.2994,0.63
111,330,1.419,0.2994,0.6297
112,333,1.4409,0.2994,0.6298
113,336,1.45,0.2993,0.6297
114,339,1.463,0.2994,0.6299
115,342,1.4781,0.2994,0.6297
116,345,1.4881,0.2994,0.6298
117,348,1.4947,0.2993,0.6297
118,351,1.5076,0.2995,0.6296
119,354,1.5133,0.2994,0.6297
120,357,1.5163,0.2993,0.6297
121,360,1.5273,0.2994,0.6299
122,363,1.5447,0.2995,0.6297
123,366,1.5534,0.2994,0.6296
124,369,1.5601,0.2994,0.6296
125,372,1.577,0.2994,0.6298
126,375,1.5847,0.2994,0.6298
127,378,1.5935,0.2994,0.6298
128,381,1.6051,0.2995,0.6298
129,384,1.6144,0.2994,0.6298
130,387,1.6239,0.2994,0.6296
131,390,1.6488,0.2995,0.6298
132,393,1.6499,0.2994,0.63
133,396,1.6483,0.2994,0.6296
134,399,1.6489,0.2994,0.6297
135,402,1.6698,0.2993,0.6299
136,405,1.6816,0.2996,0.6294
137,408,1.6932,0.2995,0.6295
138,411,1.7069,0.2995,0.6295
139,414,1.7243,0.2994,0.6297
140,417,1.7339,0.2996,0.6297
141,420,1.7438,0.2996,0.6298
142,423,1.7561,0.2995,0.6298
143,426,1.7632,0.2994,0.6298
144,429,1.7708,0.2994,0.6302
145,432,1.7796,0.2995,0.6298
146,435,1.7883,0.2995,0.6298
147,438,1.8009,0.2994,0.63
148,441,1.814,0.2996,0.6297
149,444,1.8204,0.2995,0.6297
150,447,1.829,0.2996,0.6298
151,450,1.8438,0.2995,0.6297
152,453,1.8536,0.2995,0.63
153,456,1.8602,0.2995,0.6298
154,459,1.8724,0.2995,0.6297
155,462,1.8862,0.2995,0.6298
156,465,1.8864,0.2995,0.6297
157,468,1.8907,0.2994,0.6297
158,471,1.8969,0.2995,0.6298
159,474,1.905,0.2994,0.6298
160,477,1.9133,0.2994,0.6299
161,480,1.9337,0.2995,0.6297
162,483,1.9453,0.2994,0.6298
163,486,1.9531,0.2995,0.6299
164,489,1.9692,0.2994,0.6297
165,492,1.9787,0.2994,0.6299
166,495,1.9889,0.2994,0.6297
167,498,1.9967,0.2995,0.6297
168,501,2.0172,0.2993,0.6296
169,504,2.028,0.2995,0.6297
170,507,2.0284,0.2994,0.6298
171,510,2.0285,0.2994,0.6298
172,513,2.028,0.2994,0.6298
173,516,2.0278,0.2995,0.6297
174,519,2.0317,0.2994,0.6296
175,522,2.0478,0.2995,0.6298
176,525,2.0592,0.2996,0.6299
177,528,2.0793,0.2995,0.6299
178,531,2.0883,0.2994,0.6299
179,534,2.0962,0.2994,0.6299
180,537,2.1015,0.2994,0.6298
181,540,2.1167,0.2995,0.6299
182,543,2.1241,0.2994,0.6298
183,546,2.1336,0.2994,0.6298
184,549,2.1407,0.2993,0.6298
185,552,2.1519,0.2995,0.6296
186,555,2.1635,0.2994,0.6297
187,558,2.1736,0.2994,0.6297
188,561,2.1833,0.2994,0.6297
189,564,2.1899,0.2995,0.6295
190,567,2.1981,0.2994,0.6298
191,570,2.2115,0.2994,0.6299
192,573,2.2224,0.2994,0.6298
193,576,2.2329,0.2994,0.6298
194,579,2.2564,0.2995,0.6297
195,582,2.2633,0.2994,0.6299
196,585,2.2745,0.2994,0.6298
197,588,2.2861,0.2994,0.6298
198,591,2.2945,0.2994,0.6297
199,594,2.3017,0.2994,0.6298
200,597,2.3043,0.2995,0.6297
201,600,2.3059,0.2995,0.6296
202,603,2.3195,0.2994,0.6297
203,606,2.3287,0.2994,0.63
204,609,2.3509,0.2994,0.6298
205,612,2.3581,0.2994,0.6298
206,615,2.3614,0.2995,0.6297
207,618,2.3833,0.2995,0.6298
