Index,PctInt*100,Lumens,x,y
1,0,2.79E-06,0.1707,0.0055
2,3,7.97E-06,0.1707,0.0055
3,6,2.05E-06,0.1707,0.0055
4,9,2.05E-06,0.1707,0.0055
5,12,1.92E-06,0.1707,0.0055
6,15,1.78E-07,0.1707,0.0055
7,18,2.39E-06,0.1707,0.0055
8,21,2.05E-06,0.1707,0.0055
9,24,2.28E-06,0.1707,0.0055
10,27,2.05E-06,0.1707,0.0055
11,30,2.29E-06,0.1707,0.0055
12,33,2.09E-06,0.1707,0.0055
13,36,2.32E-06,0.1707,0.0055
14,39,2.05E-06,0.1707,0.0055
15,42,1.92E-08,0.1707,0.0055
16,45,2.05E-06,0.1707,0.0055
17,48,3.32E-06,0.1707,0.0055
18,51,2.45E-06,0.1707,0.0055
19,54,2.05E-06,0.1707,0.0055
20,57,1.60E-06,0.1707,0.0055
21,60,2.30E-06,0.1707,0.0055
22,63,2.05E-06,0.1707,0.0055
23,66,1.61E-06,0.1707,0.0055
24,69,2.05E-06,0.1707,0.0055
25,72,1.42E-06,0.1707,0.0055
26,75,2.94E-06,0.1707,0.0055
27,78,2.31E-06,0.1707,0.0055
28,81,3.32E-06,0.1707,0.0055
29,84,2.15E-06,0.1707,0.0055
30,87,2.05E-06,0.1707,0.0055
31,90,2.05E-06,0.1707,0.0055
32,93,3.43E-07,0.1707,0.0055
33,96,2.05E-06,0.1707,0.0055
34,99,2.05E-06,0.1707,0.0055
35,102,1.88E-06,0.1707,0.0055
36,105,2.10E-06,0.1707,0.0055
37,108,2.05E-06,0.1707,0.0055
38,111,2.05E-06,0.1707,0.0055
39,114,2.05E-06,0.1707,0.0055
40,117,2.05E-06,0.1707,0.0055
41,120,0.001191,0.1968,0.6915
42,123,0.0048729,0.2886,0.646
43,126,0.0175,0.2972,0.637
44,129,0.027125,0.2972,0.6339
45,132,0.033145,0.2986,0.6347
46,135,0.050843,0.2978,0.6348
47,138,0.063046,0.2987,0.6332
48,141,0.073276,0.2989,0.6332
49,144,0.080075,0.2987,0.6332
50,147,0.094758,0.2991,0.633
51,150,0.1039,0.2993,0.632
52,153,0.11435,0.2997,0.6308
53,156,0.12506,0.2993,0.6318
54,159,0.1326,0.2995,0.6314
55,162,0.14357,0.2998,0.631
56,165,0.15989,0.2995,0.6314
57,168,0.16899,0.2996,0.6309
58,171,0.17817,0.2998,0.6306
59,174,0.19562,0.2997,0.6312
60,177,0.20711,0.2997,0.6303
61,180,0.21406,0.2995,0.6304
62,183,0.23123,0.2998,0.6306
63,186,0.23726,0.2997,0.6304
64,189,0.24358,0.2997,0.6306
65,192,0.26421,0.3001,0.6305
66,195,0.27005,0.2998,0.63
67,198,0.27929,0.2997,0.6297
68,201,0.29162,0.2997,0.6301
69,204,0.30218,0.2997,0.6299
70,207,0.3158,0.2998,0.6302
71,210,0.32444,0.2998,0.63
72,213,0.34048,0.2996,0.63
73,216,0.35128,0.2997,0.6295
74,219,0.36063,0.2998,0.6302
75,222,0.37184,0.2998,0.6297
76,225,0.38746,0.2999,0.6298
77,228,0.39822,0.2999,0.6296
78,231,0.40921,0.2998,0.6296
79,234,0.41901,0.2997,0.6296
80,237,0.42595,0.2998,0.6297
81,240,0.43502,0.2998,0.6295
82,243,0.45487,0.3001,0.6294
83,246,0.46267,0.3,0.6296
84,249,0.4716,0.2998,0.6294
85,252,0.48954,0.2999,0.6295
86,255,0.49897,0.2999,0.6295
87,258,0.50934,0.2998,0.6296
88,261,0.51857,0.3,0.6296
89,264,0.52935,0.3,0.6295
90,267,0.54119,0.3,0.6296
91,270,0.54913,0.2999,0.6296
92,273,0.56375,0.2998,0.6298
93,276,0.56933,0.2999,0.6293
94,279,0.58373,0.2999,0.6297
95,282,0.60084,0.2999,0.6295
96,285,0.6112,0.2999,0.6294
97,288,0.61795,0.2998,0.6291
98,291,0.62345,0.3,0.6295
99,294,0.64271,0.2999,0.6294
100,297,0.65448,0.3,0.6295
101,300,0.66269,0.2998,0.6296
102,303,0.67176,0.2998,0.6296
103,306,0.69092,0.2998,0.6296
104,309,0.70173,0.2998,0.6294
105,312,0.71695,0.2999,0.6292
106,315,0.72768,0.2998,0.6293
107,318,0.73295,0.2999,0.6295
108,321,0.75872,0.2999,0.6298
109,324,0.76587,0.2998,0.6296
110,327,0.77783,0.2999,0.6294
111,330,0.78516,0.2999,0.6295
112,333,0.80334,0.2998,0.6296
113,336,0.80844,0.2998,0.6298
114,339,0.81832,0.2998,0.6296
115,342,0.83434,0.2998,0.6295
116,345,0.84503,0.2998,0.6297
117,348,0.85421,0.2999,0.6295
118,351,0.85835,0.2999,0.6294
119,354,0.86778,0.2999,0.6294
120,357,0.8827,0.2999,0.6295
121,360,0.89723,0.2998,0.6295
122,363,0.90811,0.2999,0.6295
123,366,0.91437,0.2999,0.6295
124,369,0.92023,0.2998,0.6295
125,372,0.93681,0.2998,0.6297
126,375,0.94503,0.2999,0.6297
127,378,0.95673,0.2997,0.6294
128,381,0.96527,0.2998,0.6297
129,384,0.97365,0.2999,0.6296
130,387,0.98693,0.2998,0.6295
131,390,0.99406,0.2997,0.6295
132,393,1.005,0.2998,0.6294
133,396,1.0128,0.2998,0.6295
134,399,1.0228,0.2998,0.6296
135,402,1.0393,0.2999,0.6296
136,405,1.0492,0.2999,0.6295
137,408,1.0597,0.3,0.6294
138,411,1.0694,0.2999,0.6296
139,414,1.0814,0.2998,0.6293
140,417,1.0903,0.2998,0.6294
141,420,1.1075,0.2997,0.6296
142,423,1.1156,0.2999,0.63
143,426,1.1233,0.2998,0.6295
144,429,1.1314,0.2998,0.6296
145,432,1.1436,0.2998,0.6301
146,435,1.1499,0.2997,0.6298
147,438,1.1627,0.2998,0.6296
148,441,1.1752,0.2998,0.6296
149,444,1.1848,0.2998,0.6296
150,447,1.1924,0.2997,0.6295
151,450,1.2102,0.2997,0.6294
152,453,1.2169,0.2997,0.6296
153,456,1.2231,0.2997,0.6295
154,459,1.2347,0.2998,0.6297
155,462,1.2444,0.2999,0.6294
156,465,1.2574,0.2999,0.6296
157,468,1.2678,0.2998,0.6299
158,471,1.2742,0.2999,0.6294
159,474,1.2874,0.2998,0.6296
160,477,1.294,0.2998,0.6294
161,480,1.3063,0.2997,0.6295
162,483,1.3172,0.2999,0.6296
163,486,1.325,0.2999,0.6294
164,489,1.3417,0.2999,0.6297
165,492,1.3528,0.2999,0.6296
166,495,1.3619,0.2998,0.6296
167,498,1.3693,0.3,0.6296
168,501,1.3902,0.2997,0.6301
169,504,1.395,0.2998,0.6297
170,507,1.4047,0.2996,0.6296
171,510,1.4092,0.3,0.6297
172,513,1.421,0.2998,0.6297
173,516,1.434,0.2998,0.6299
174,519,1.457,0.2997,0.6298
175,522,1.4639,0.2997,0.63
176,525,1.4721,0.2998,0.6298
177,528,1.4911,0.2999,0.6299
178,531,1.5003,0.2998,0.6297
