Index,PctInt*100,Lumens,x,y
1,0,0.01,0.01,0.01
2,3,0.12346,0.2983,0.6317
3,6,0.12366,0.2992,0.6314
4,9,0.13263,0.2993,0.6317
5,12,0.14273,0.2992,0.6308
6,15,0.15225,0.299,0.6307
7,18,0.17086,0.2991,0.6309
8,21,0.17822,0.299,0.6309
9,24,0.19097,0.2989,0.63
10,27,0.20421,0.299,0.6301
11,30,0.21609,0.2991,0.6307
12,33,0.22482,0.2991,0.6302
13,36,0.23597,0.299,0.6295
14,39,0.24717,0.2989,0.6298
15,42,0.25511,0.2989,0.63
16,45,0.272,0.299,0.6302
17,48,0.28327,0.2991,0.6294
18,51,0.29177,0.2991,0.6298
19,54,0.30004,0.299,0.6298
20,57,0.31796,0.2991,0.6298
21,60,0.32671,0.299,0.6293
22,63,0.33799,0.299,0.6296
23,66,0.35032,0.299,0.6297
24,69,0.3598,0.2992,0.6295
25,72,0.37552,0.2991,0.6294
26,75,0.38401,0.2991,0.6295
27,78,0.39588,0.299,0.6295
28,81,0.40353,0.2992,0.6295
29,84,0.42405,0.2991,0.6291
30,87,0.43367,0.299,0.6293
31,90,0.44051,0.2992,0.6295
32,93,0.4509,0.2991,0.6292
33,96,0.47286,0.2991,0.6294
34,99,0.48113,0.2991,0.6293
35,102,0.4899,0.2991,0.6293
36,105,0.50342,0.2992,0.6294
37,108,0.51508,0.2991,0.629
38,111,0.52462,0.2992,0.629
39,114,0.53679,0.2992,0.6294
40,117,0.54223,0.2992,0.6291
41,120,0.55315,0.2992,0.6295
42,123,0.56364,0.2993,0.6293
43,126,0.5812,0.2992,0.6294
44,129,0.58838,0.2992,0.6295
45,132,0.59691,0.299,0.6292
46,135,0.61317,0.2992,0.6291
47,138,0.63027,0.2991,0.629
48,141,0.63708,0.2991,0.6292
49,144,0.64737,0.2991,0.6293
50,147,0.65984,0.2991,0.6292
51,150,0.67074,0.2991,0.6293
52,153,0.67844,0.2992,0.6289
53,156,0.68686,0.2992,0.6292
54,159,0.7038,0.2992,0.6293
55,162,0.71034,0.2991,0.629
56,165,0.72801,0.2991,0.629
57,168,0.73904,0.2992,0.6291
58,171,0.74574,0.2991,0.6292
59,174,0.76499,0.2992,0.629
60,177,0.77266,0.2993,0.6293
61,180,0.78114,0.299,0.6295
62,183,0.79704,0.299,0.6294
63,186,0.80663,0.2991,0.6295
