Index,PctInt*100,Lumens,x,y
1,0,0.000613,0.3988,0.4345
2,3,0.066106,0.6858,0.313
3,6,0.066344,0.6852,0.313
4,9,0.065458,0.686,0.313
5,12,0.066225,0.6857,0.3131
6,15,0.071382,0.6864,0.3133
7,18,0.074198,0.6866,0.3132
8,21,0.076309,0.6867,0.3129
9,24,0.078628,0.6858,0.3133
10,27,0.080915,0.6861,0.3133
11,30,0.085409,0.6862,0.3132
12,33,0.087341,0.6869,0.3127
13,36,0.092042,0.6871,0.3126
14,39,0.095471,0.6873,0.3126
15,42,0.097396,0.6866,0.3127
16,45,0.10203,0.6863,0.3127
17,48,0.10496,0.686,0.3132
18,51,0.10689,0.6857,0.3124
19,54,0.11162,0.6859,0.3126
20,57,0.1134,0.6863,0.3128
21,60,0.11793,0.6871,0.3125
22,63,0.11914,0.6872,0.3127
23,66,0.1238,0.6873,0.3125
24,69,0.12747,0.6873,0.3125
25,72,0.12935,0.6869,0.3129
26,75,0.13312,0.6871,0.3128
27,78,0.1353,0.6873,0.3125
28,81,0.13944,0.6872,0.3126
29,84,0.14224,0.6869,0.3126
30,87,0.14599,0.6871,0.3129
31,90,0.1493,0.6869,0.3129
32,93,0.15037,0.6866,0.3131
33,96,0.15664,0.6867,0.313
34,99,0.15881,0.6871,0.3127
35,102,0.16289,0.687,0.3128
36,105,0.16617,0.6871,0.3124
37,108,0.16814,0.6868,0.313
38,111,0.17163,0.6872,0.3125
39,114,0.17451,0.6873,0.3125
40,117,0.17655,0.6877,0.3122
41,120,0.17889,0.6877,0.3122
42,123,0.18142,0.6877,0.3122
43,126,0.18673,0.6876,0.3123
44,129,0.18938,0.6877,0.3121
45,132,0.19169,0.6877,0.3122
46,135,0.1991,0.6877,0.3121
47,138,0.19985,0.6878,0.3121
48,141,0.20277,0.6877,0.3122
49,144,0.20464,0.6877,0.3122
50,147,0.2083,0.6876,0.3122
51,150,0.21011,0.6878,0.3121
52,153,0.21481,0.6876,0.3122
53,156,0.21705,0.6877,0.3121
54,159,0.21987,0.6876,0.3122
55,162,0.22197,0.6878,0.3121
56,165,0.22721,0.6877,0.3121
57,168,0.22968,0.6878,0.312
58,171,0.23247,0.6877,0.3122
59,174,0.23778,0.687,0.3127
60,177,0.23874,0.6872,0.3123
61,180,0.24128,0.6871,0.3126
62,183,0.24622,0.6858,0.313
63,186,0.24939,0.6873,0.3124
64,189,0.25266,0.6873,0.3126
65,192,0.255,0.687,0.3125
66,195,0.25846,0.6877,0.3123
67,198,0.26041,0.6866,0.3127
68,201,0.26336,0.6872,0.3124
