Index,PctInt*100,Lumens,x,y
1,0,1.61E-08,0,0
2,3,0.022328,0.6864,0.3134
3,6,0.020979,0.6869,0.313
4,9,0.02235,0.6866,0.3128
5,12,0.022252,0.6869,0.313
6,15,0.024186,0.6869,0.3129
7,18,0.027466,0.6866,0.3132
8,21,0.028766,0.6864,0.3134
9,24,0.030295,0.6861,0.3136
10,27,0.033292,0.6868,0.313
11,30,0.034778,0.6866,0.3132
12,33,0.038846,0.6868,0.3131
13,36,0.042113,0.6865,0.3133
14,39,0.045579,0.6869,0.3129
15,42,0.047159,0.6863,0.3136
16,45,0.051002,0.6862,0.3132
17,48,0.05536,0.6868,0.3131
18,51,0.055764,0.6867,0.3131
19,54,0.058813,0.6865,0.3134
20,57,0.063438,0.6864,0.3134
21,60,0.06633,0.6865,0.3133
22,63,0.068448,0.6866,0.3133
23,66,0.071901,0.6866,0.3132
24,69,0.07385,0.6866,0.3133
25,72,0.075958,0.6864,0.3134
26,75,0.079982,0.6861,0.3136
27,78,0.082946,0.6865,0.3133
28,81,0.085591,0.6864,0.3133
29,84,0.087108,0.6867,0.3133
30,87,0.091091,0.6865,0.3134
31,90,0.093689,0.6866,0.3133
32,93,0.095159,0.6864,0.3132
33,96,0.10058,0.6868,0.3132
34,99,0.10321,0.6867,0.3131
35,102,0.1053,0.6866,0.3133
36,105,0.10797,0.6866,0.3133
37,108,0.11106,0.6867,0.3132
38,111,0.11544,0.6867,0.3133
39,114,0.1181,0.6866,0.3132
40,117,0.12228,0.6867,0.3131
41,120,0.13024,0.6868,0.3131
42,123,0.1368,0.6864,0.3133
43,126,0.13943,0.6866,0.3131
44,129,0.15776,0.6867,0.3132
45,132,0.15824,0.6864,0.3131
46,135,0.17214,0.6869,0.3129
47,138,0.17777,0.6867,0.3131
48,141,0.17798,0.6868,0.3131
49,144,0.17637,0.6868,0.3131
50,147,0.17751,0.6868,0.313
51,150,0.18066,0.6867,0.3131
52,153,0.18353,0.687,0.313
53,156,0.18425,0.6867,0.3131
54,159,0.18953,0.6867,0.3132
55,162,0.1919,0.6869,0.313
56,165,0.19494,0.6869,0.313
57,168,0.19725,0.6868,0.3131
58,171,0.20227,0.6866,0.3132
59,174,0.20624,0.6869,0.3129
60,177,0.20847,0.6869,0.313
61,180,0.21061,0.6868,0.313
62,183,0.21545,0.6869,0.313
63,186,0.21776,0.6867,0.3131
64,189,0.22043,0.6868,0.313
65,192,0.22304,0.6868,0.313
66,195,0.22585,0.6869,0.313
67,198,0.23093,0.6868,0.3131
68,201,0.23245,0.6868,0.313
69,204,0.23783,0.6868,0.3131
70,207,0.23935,0.6869,0.313
71,210,0.24053,0.6868,0.313
72,213,0.24715,0.6869,0.3129
73,216,0.24986,0.6871,0.3127
74,219,0.25208,0.6869,0.3129
75,222,0.25766,0.6866,0.3132
76,225,0.2593,0.6868,0.313
77,228,0.26064,0.687,0.3129
78,231,0.26327,0.687,0.3129
79,234,0.26882,0.6868,0.313
80,237,0.26977,0.6869,0.313
81,240,0.27217,0.6867,0.3131
82,243,0.27903,0.6869,0.3129
83,246,0.28229,0.6869,0.3129
84,249,0.28318,0.6867,0.3131
85,252,0.288,0.6869,0.3129
86,255,0.29166,0.6869,0.313
87,258,0.29438,0.687,0.3128
88,261,0.29643,0.6869,0.3129
89,264,0.30054,0.6868,0.3131
90,267,0.30222,0.6869,0.313
91,270,0.30823,0.6869,0.3129
92,273,0.31052,0.6869,0.3128
93,276,0.31192,0.6869,0.3129
94,279,0.31433,0.6868,0.3131
95,282,0.31888,0.6869,0.3129
96,285,0.32148,0.6869,0.313
97,288,0.32429,0.6871,0.3127
98,291,0.32752,0.687,0.3125
