Index,PctInt*100,Lumens,x,y
1,0,3.32E-06,0.5633,0.4361
2,3,3.32E-06,0.016,0.7586
3,6,8.46E-09,0.1749,0.0052
4,9,3.32E-06,0.016,0.7586
5,12,3.22E-06,0.062,0.0889
6,15,9.40E-07,0.7328,0.2672
7,18,3.32E-06,0.016,0.7586
8,21,3.32E-06,0.016,0.7586
9,24,1.37E-06,0.016,0.7586
10,27,1.82E-06,0.016,0.7586
11,30,4.30E-07,0.7347,0.2653
12,33,5.88E-07,0.016,0.7586
13,36,2.34E-06,0.016,0.7586
14,39,3.32E-06,0.016,0.7586
15,42,6.32E-07,0.016,0.7586
16,45,3.32E-06,0.016,0.7586
17,48,3.32E-06,0.016,0.7586
18,51,3.32E-06,0.016,0.7586
19,54,3.32E-06,0.016,0.7586
20,57,4.62E-08,0.016,0.7586
21,60,6.69E-07,0.7322,0.2678
22,63,3.32E-06,0.016,0.7586
23,66,1.53E-06,0.6585,0.3412
24,69,1.90E-06,0.0248,0.404
25,72,3.32E-06,0.016,0.7586
26,75,3.08E-07,0.1728,0.0048
27,78,3.32E-06,0.016,0.7586
28,81,1.25E-07,0.016,0.7586
29,84,3.24E-06,0.016,0.7586
30,87,2.90E-07,0.016,0.7586
31,90,9.54E-07,0.5308,0.4128
32,93,3.32E-06,0.016,0.7586
33,96,3.32E-06,0.016,0.7586
34,99,3.32E-06,0.016,0.7586
35,102,3.32E-06,0.016,0.7586
36,105,1.79E-06,0.7298,0.2702
37,108,4.27E-06,0.016,0.7586
38,111,3.32E-06,0.016,0.7586
39,114,1.26E-06,0.3177,0.6774
40,117,3.32E-06,0.016,0.7586
41,120,1.12E-06,0.2656,0.2941
42,123,1.44E-06,0.4875,0.5097
43,126,1.55E-06,0.016,0.7586
44,129,2.00E-06,0.2655,0.7059
45,132,2.42E-06,0.016,0.7586
46,135,3.32E-06,0.016,0.7586
47,138,3.32E-06,0.016,0.7586
48,141,1.58E-06,0.016,0.7586
49,144,1.27E-06,0.7029,0.29
50,147,3.32E-06,0.016,0.7586
51,150,3.32E-06,0.016,0.7586
52,153,1.61E-06,0.0359,0.808
53,156,3.32E-06,0.016,0.7586
54,159,3.32E-06,0.016,0.7586
55,162,1.38E-06,0.016,0.7586
56,165,8.20E-07,0.016,0.7586
57,168,3.32E-06,0.016,0.7586
58,171,5.93E-09,0.016,0.7586
59,174,3.32E-06,0.016,0.7586
60,177,8.08E-08,0.016,0.7586
61,180,1.74E-06,0.016,0.7586
